Opening: C:\Users\mag11\Desktop\bundles_packages\3.pkg
Chunk Name: aid_pip_pinata_startgame_targetprompt
Chunk Name: aid_pip_pinata_live_newplayer
Chunk Name: aid_action_pinata_interface_avatarshopkeeper
Chunk Name: aid_pip_pinata_helper_outofwork_miner
Chunk Name: aid_pip_pinata_startgame_wormhouse
Chunk Name: aid_pip_pinata_animalill_poisoned
Chunk Name: aid_pip_pinata_alert_wildcardborn
Chunk Name: aid_pip_pinata_startgame_watermeter
Chunk Name: aid_objparams_pinata_avatar_shopkeeper
Chunk Name: aid_pip_pinata_animalill_null
Chunk Name: aid_pip_pinata_misc_newvisitor
Chunk Name: aid_pip_pinata_startgame_clock
Chunk Name: aid_pip_pinata_startgame_money
Chunk Name: aid_pip_pinata_startgame_spade
Chunk Name: aid_pip_pinata_credits_unlocked
Chunk Name: aid_action_pinata_list_actorhelperselected
Chunk Name: aid_pip_pinata_startgame_mateadvice
Chunk Name: aid_pip_pinata_startgame_directprompt2
Chunk Name: aid_pip_pinata_startgame_directprompt3
Chunk Name: aid_pip_pinata_misc_plantoverwatered
Chunk Name: aid_pip_pinata_live_newplayernonhost
Chunk Name: aid_pip_pinata_award_animal_breed
Chunk Name: aid_pip_pinata_startgame_nightone
Chunk Name: aid_pip_pinata_misc_animalill
Chunk Name: aid_pip_pinata_alert_beggarenoughmoney
Chunk Name: aid_pip_pinata_award_animal_visit
Chunk Name: aid_pip_pinata_startgame_journal
Chunk Name: aid_pip_pinata_misc_pestcocoon
Chunk Name: aid_pip_pinata_award_default
Chunk Name: aid_pip_pinata_alert_toolsallowed
Chunk Name: aid_pip_pinata_startgame_firstalert
Chunk Name: aid_pip_pinata_startgame_journalinfo
Chunk Name: aid_pip_pinata_misc_levelup
Chunk Name: aid_pip_pinata_helper_quittrapped
Chunk Name: aid_action_pinata_list_actorpickedup
Chunk Name: aid_pip_pinata_alert_confiscatespade
Chunk Name: aid_pip_pinata_alert_toolsnotallowed
Chunk Name: aid_pip_pinata_animalill_spade
Chunk Name: aid_pip_pinata_alert_cantsendcrate
Chunk Name: aid_pip_pinata_helper_quitunhappy
Chunk Name: aid_pip_pinata_helper_quit
Chunk Name: aid_pip_pinata_startgame_newseed
Chunk Name: aid_pip_pinata_misc_newvisitor2
Chunk Name: aid_pip_pinata_misc_newvisitor3
Chunk Name: aid_pip_pinata_misc_avatarrotated
Chunk Name: aid_pip_pinata_award_animal_master
Chunk Name: aid_pip_pinata_animalill_fighting
Chunk Name: aid_pip_pinata_misc_produceblocked
Chunk Name: aid_pip_pinata_story_unlockedlast
Chunk Name: aid_pip_pinata_award_plant_grow
Chunk Name: aid_pip_pinata_misc_loggedin
Chunk Name: aid_pip_pinata_award_plant_seed
Chunk Name: aid_pip_pinata_misc_plantdriedout
Chunk Name: aid_pip_pinata_helper_istrapped_weeder
Chunk Name: aid_pip_pinata_helper_istrapped_dedos
Chunk Name: aid_pip_pinata_helper_istrapped_miner
Chunk Name: aid_action_pinata_list_actorsell
Chunk Name: aid_pip_pinata_helper_istrapped_tinker
Chunk Name: aid_action_pinata_list_actordirect
Chunk Name: aid_pip_pinata_misc_spacefreedup
Chunk Name: aid_pip_pinata_misc_cocoonhatched
Chunk Name: aid_pip_pinata_helper_istrapped_doctor
Chunk Name: aid_action_pinata_abilities_avatarshopkeeper
Chunk Name: aid_action_pinata_list_actorstores
Chunk Name: aid_pip_pinata_alert_dedostrapped
Chunk Name: aid_pip_pinata_award_biftree_grow
Chunk Name: aid_pip_pinata_animalill_oldage
Chunk Name: aid_action_pinata_list_avatarstores
Chunk Name: aid_pip_pinata_alert_returnspade
Chunk Name: aid_pip_pinata_animalill_trapped
Chunk Name: aid_pip_pinata_helper_outofwork_weeder
Chunk Name: aid_pip_pinata_test
Chunk Name: aid_pip_pinata_misc_animaldied
Chunk Name: aid_pip_pinata_misc_crateadvice
Chunk Name: aid_pip_pinata_misc_matetrouble
Chunk Name: aid_action_pinata_list_actorbuy
Chunk Name: aid_action_pinata_list_actorcrate
Chunk Name: aid_pip_pinata_story_unlocked
Chunk Name: aid_pip_pinata_alert_builderintro
Chunk Name: aid_action_pinata_list_startgamemenu
Chunk Name: aid_pip_pinata_animalill_created
Chunk Name: aid_pip_pinata_misc_plantstunted
Chunk Name: aid_pip_pinata_animalill_unhappy
Chunk Name: aid_pip_pinata_misc_firstmail
Chunk Name: aid_pip_pinata_misc_firstcocoon
Chunk Name: aid_pip_pinata_live_playerleft
CaffCount: 1
Caff 0
Size(bytes): 49953
Offset(h): 2048
.DATA chunk count: 126
.GPU chunk count: 3
0 offset(h): 120
0 size(bytes) - Compressed: 2758 -> Uncompressed: 8732
1 offset(h): 4926
1 size(bytes) - Compressed: 206 -> Uncompressed: 392
2 size(bytes) - Compressed: 3856 -> Uncompressed: 45280
3 size(bytes) - Compressed: 43013 -> Uncompressed: 94208
Opening: C:\Users\mag11\Desktop\bundles_packages\10.pkg
Chunk Name: pool
Chunk Name: aid_cutscene_pinata_actor_animal_bear_appear
Chunk Name: aid_cutscene_pinata_actor_animal_bear_appear
Chunk Name: aid_cutsceneevents_pinata_actor_animal_bear_appear_camera
Chunk Name: aid_model_pinata_actor_animal_bear_default
Chunk Name: aid_texture_madeup
Chunk Name: aid_texture_madeup(1)
Chunk Name: aid_texture_madeup
Chunk Name: aid_texture_madeup(1)
Chunk Name: aid_texture_madeup
CaffCount: 2
Chunk Name: pool
Chunk Name: aid_animevents_pinata_actor_animal_dragon_timeline
Chunk Name: aid_animevents_pinata_actor_animal_blackbutterfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_hedgehog_timeline
Chunk Name: aid_animevents_pinata_actor_animal_firefly_timeline
Chunk Name: aid_animevents_pinata_actor_helper_dastardos_timeline
Chunk Name: aid_animevents_pinata_actor_animal_pinkbutterfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_wolfnew_timeline
Chunk Name: aid_expression_pinata_database_happy
Chunk Name: aid_expression_pinata_database_angry
Chunk Name: aid_animevents_pinata_actor_animal_raccoonpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_canarynew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_groundskeepernight_timeline
Chunk Name: aid_animevents_pinata_actor_animal_frog_timeline
Chunk Name: aid_animevents_pinata_actor_helper_weedier_timeline
Chunk Name: aid_animevents_pinata_actor_animal_yellowbutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_boomslang_timeline
Chunk Name: aid_animevents_pinata_actor_animal_chickennew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bushbaby_timeline
Chunk Name: aid_animevents_pinata_actor_animal_cownew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_pignew_timeline
Chunk Name: aid_expression_pinata_database_viseme_a
Chunk Name: aid_expression_pinata_database_viseme_e
Chunk Name: aid_expression_pinata_database_viseme_m
Chunk Name: aid_expression_pinata_database_viseme_o
Chunk Name: aid_animevents_pinata_actor_animal_eagle_timeline
Chunk Name: aid_texture_pinata_misc_grassfur
Chunk Name: aid_animevents_pinata_actor_animal_horse_timeline
Chunk Name: aid_animevents_pinata_actor_animal_pigeon_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperseedos_openin
Chunk Name: aid_animevents_pinata_actor_animal_goose_timeline
Chunk Name: aid_animevents_pinata_actor_animal_dog_timeline
Chunk Name: aid_animevents_pinata_actor_helper_minernew_timeline
Chunk Name: aid_texture_common_effect_perturbation_rainspot
Chunk Name: aid_expression_pinata_database_viseme_closed
Chunk Name: aid_anim_pinata_avatar_home_helperseedos_closein
Chunk Name: aid_animevents_pinata_actor_animal_foxnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_chameleon_timeline
Chunk Name: aid_animevents_pinata_actor_animal_ant_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bat_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bee_timeline
Chunk Name: aid_entrypoint_pinata_actor_animal_101
Chunk Name: aid_entrypoint_pinata_actor_animal_132
Chunk Name: aid_entrypoint_pinata_actor_animal_134
Chunk Name: aid_animevents_pinata_actor_animal_bear_timeline
Chunk Name: aid_animevents_pinata_actor_animal_batpest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_badger_timeline
Chunk Name: aid_animevents_pinata_actor_animal_brownbutterfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_snailpest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_mandrillnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_molepest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_zebranew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_waterer_timeline
Chunk Name: aid_animevents_pinata_actor_animal_squirrelnew_timeline
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk1
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk2
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk3
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk4
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk5
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_leaveduetohits
Chunk Name: aid_animevents_pinata_actor_animal_firesalamander_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_openin
Chunk Name: aid_animevents_pinata_actor_animal_dragonfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_raccoonnew_timeline
Chunk Name: aid_model_pinata_avatar_paving_slab_default2
Chunk Name: aid_texture_common_effect_circlefade
Chunk Name: aid_misc_pinata_speechphrase_builder_watered1
Chunk Name: aid_misc_pinata_speechphrase_builder_watered2
Chunk Name: aid_misc_pinata_speechphrase_builder_watered3
Chunk Name: aid_animevents_pinata_actor_animal_crocodilepest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bluebottle_timeline
Chunk Name: aid_animevents_pinata_actor_animal_lion_timeline
Chunk Name: aid_animevents_pinata_actor_animal_moth_timeline
Chunk Name: aid_animevents_pinata_actor_animal_mole_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_default
Chunk Name: aid_animevents_pinata_actor_animal_crowpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_orangebutterflynew_timeline
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_watered1
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_watered2
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_watered3
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_enoughmoneyfortrader
Chunk Name: aid_animevents_pinata_actor_animal_newt_timeline
Chunk Name: aid_animevents_pinata_actor_helper_professor_timeline
Chunk Name: aid_animevents_pinata_actor_animal_greenbutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_dedosnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_wormnew_timeline
Chunk Name: aid_marker_pinata_game_competitionrace
Chunk Name: aid_animevents_pinata_actor_animal_beavernew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_seedos_timeline
Chunk Name: aid_animevents_pinata_actor_animal_sparrownew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_spider_timeline
Chunk Name: aid_animevents_pinata_actor_animal_snail_timeline
Chunk Name: aid_misc_pinata_speechphrase_builder_hit1
Chunk Name: aid_misc_pinata_speechphrase_builder_hit2
Chunk Name: aid_misc_pinata_speechphrase_builder_hit3
Chunk Name: aid_pip_pinata_confirmation_player_restartgame
Chunk Name: aid_expression_pinata_bodyparams_shopkeeper_default
Chunk Name: aid_animevents_pinata_actor_animal_mandrillpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_doctor_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bluebutterflynew_timeline
Chunk Name: aid_entrypoint_pinata_actor_animal_61
Chunk Name: aid_entrypoint_pinata_actor_animal_62
Chunk Name: aid_entrypoint_pinata_actor_animal_86
Chunk Name: aid_entrypoint_pinata_actor_animal_87
Chunk Name: aid_entrypoint_pinata_actor_animal_76
Chunk Name: aid_misc_pinata_speechphrase_tinker_hit1
Chunk Name: aid_misc_pinata_speechphrase_tinker_hit2
Chunk Name: aid_misc_pinata_speechphrase_tinker_hit3
Chunk Name: aid_animevents_pinata_actor_animal_wolfpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_builder_timeline
Chunk Name: aid_animevents_pinata_actor_animal_monkey_timeline
Chunk Name: aid_animevents_pinata_actor_animal_poisonfrog_timeline
Chunk Name: aid_animevents_pinata_actor_animal_hydra_timeline
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_firstspeech
Chunk Name: aid_misc_pinata_speechphrase_tinker_watered1
Chunk Name: aid_misc_pinata_speechphrase_tinker_watered2
Chunk Name: aid_misc_pinata_speechphrase_tinker_watered3
Chunk Name: aid_animevents_pinata_actor_animal_unicornnew_timeline
Chunk Name: aid_expression_pinata_database_surprised
Chunk Name: aid_objparams_pinata_actorstate_animal_explode
Chunk Name: aid_animevents_pinata_actor_helper_harvesternew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_crocodile_timeline
Chunk Name: aid_animevents_pinata_actor_animal_rabbitnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_parrotnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_sheep_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_windspinner
Chunk Name: aid_animevents_pinata_actor_animal_buzzardnew_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_closein
Chunk Name: aid_animevents_pinata_actor_animal_ponynew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_groundskeeper_timeline
Chunk Name: aid_animevents_pinata_actor_animal_grasssnake_timeline
Chunk Name: aid_objparams_pinata_scenecontrol_competitionrace
Chunk Name: aid_animevents_pinata_actor_animal_elephant_timeline
Chunk Name: aid_animevents_pinata_actor_helper_trader_timeline
Chunk Name: aid_model_pinata_avatar_flowerhead_bulrush_default
Chunk Name: aid_animevents_pinata_actor_animal_hippo_timeline
Chunk Name: aid_animevents_pinata_actor_animal_purplebutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_deer_timeline
Chunk Name: aid_texture_common_effect_electricspark
Chunk Name: aid_animevents_pinata_actor_animal_swan_timeline
Chunk Name: aid_animevents_pinata_actor_animal_whitebutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_crow_timeline
Chunk Name: aid_expression_pinata_database_sad
Chunk Name: aid_animevents_pinata_actor_animal_duck_timeline
Chunk Name: aid_animevents_pinata_actor_animal_flyingpig_timeline
Chunk Name: aid_animevents_pinata_actor_animal_redbutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_ruffian1_timeline
Chunk Name: aid_animevents_pinata_actor_helper_ruffian2_timeline
Chunk Name: aid_animevents_pinata_actor_helper_ruffian3_timeline
Chunk Name: aid_animevents_pinata_actor_helper_ruffian4_timeline
Chunk Name: aid_animevents_pinata_actor_animal_catnew_timeline
Chunk Name: aid_texture_common_effect_lightshaft
Chunk Name: aid_anim_pinata_avatar_home_helperseedos_default
Chunk Name: aid_callout_pinata_avatar_flowerhead_bulrush_default
Chunk Name: aid_animevents_pinata_actor_helper_storkos_timeline
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_hit1
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_hit2
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_hit3
Chunk Name: aid_animevents_pinata_actor_animal_mousenew_timeline
CaffCount: 2
Caff 0
Size(bytes): 431875
Offset(h): 2048
.DATA chunk count: 10
.GPU chunk count: 6
0 offset(h): 120
0 size(bytes) - Compressed: 364 -> Uncompressed: 792
1 offset(h): 2532
1 size(bytes) - Compressed: 1283 -> Uncompressed: 3000
2 size(bytes) - Compressed: 89935 -> Uncompressed: 172492
3 size(bytes) - Compressed: 340173 -> Uncompressed: 921600
Caff 0
Size(bytes): 431875
Offset(h): 2048
.DATA chunk count: 10
.GPU chunk count: 6
0 offset(h): 120
0 size(bytes) - Compressed: 364 -> Uncompressed: 792
1 offset(h): 2532
1 size(bytes) - Compressed: 1283 -> Uncompressed: 3000
2 size(bytes) - Compressed: 89935 -> Uncompressed: 172492
3 size(bytes) - Compressed: 340173 -> Uncompressed: 921600
Opening: C:\Users\mag11\Desktop\bundles_packages\10.pkg
Chunk Name: pool
Chunk Name: aid_cutscene_pinata_actor_animal_bear_appear
Chunk Name: aid_cutscene_pinata_actor_animal_bear_appear
Chunk Name: aid_cutsceneevents_pinata_actor_animal_bear_appear_camera
Chunk Name: aid_model_pinata_actor_animal_bear_default
Chunk Name: aid_texture_madeup
Chunk Name: aid_texture_madeup(1)
Chunk Name: aid_texture_madeup
Chunk Name: aid_texture_madeup(1)
Chunk Name: aid_texture_madeup
CaffCount: 2
Chunk Name: pool
Chunk Name: aid_animevents_pinata_actor_animal_dragon_timeline
Chunk Name: aid_animevents_pinata_actor_animal_blackbutterfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_hedgehog_timeline
Chunk Name: aid_animevents_pinata_actor_animal_firefly_timeline
Chunk Name: aid_animevents_pinata_actor_helper_dastardos_timeline
Chunk Name: aid_animevents_pinata_actor_animal_pinkbutterfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_wolfnew_timeline
Chunk Name: aid_expression_pinata_database_happy
Chunk Name: aid_expression_pinata_database_angry
Chunk Name: aid_animevents_pinata_actor_animal_raccoonpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_canarynew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_groundskeepernight_timeline
Chunk Name: aid_animevents_pinata_actor_animal_frog_timeline
Chunk Name: aid_animevents_pinata_actor_helper_weedier_timeline
Chunk Name: aid_animevents_pinata_actor_animal_yellowbutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_boomslang_timeline
Chunk Name: aid_animevents_pinata_actor_animal_chickennew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bushbaby_timeline
Chunk Name: aid_animevents_pinata_actor_animal_cownew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_pignew_timeline
Chunk Name: aid_expression_pinata_database_viseme_a
Chunk Name: aid_expression_pinata_database_viseme_e
Chunk Name: aid_expression_pinata_database_viseme_m
Chunk Name: aid_expression_pinata_database_viseme_o
Chunk Name: aid_animevents_pinata_actor_animal_eagle_timeline
Chunk Name: aid_texture_pinata_misc_grassfur
Chunk Name: aid_animevents_pinata_actor_animal_horse_timeline
Chunk Name: aid_animevents_pinata_actor_animal_pigeon_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperseedos_openin
Chunk Name: aid_animevents_pinata_actor_animal_goose_timeline
Chunk Name: aid_animevents_pinata_actor_animal_dog_timeline
Chunk Name: aid_animevents_pinata_actor_helper_minernew_timeline
Chunk Name: aid_texture_common_effect_perturbation_rainspot
Chunk Name: aid_expression_pinata_database_viseme_closed
Chunk Name: aid_anim_pinata_avatar_home_helperseedos_closein
Chunk Name: aid_animevents_pinata_actor_animal_foxnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_chameleon_timeline
Chunk Name: aid_animevents_pinata_actor_animal_ant_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bat_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bee_timeline
Chunk Name: aid_entrypoint_pinata_actor_animal_101
Chunk Name: aid_entrypoint_pinata_actor_animal_132
Chunk Name: aid_entrypoint_pinata_actor_animal_134
Chunk Name: aid_animevents_pinata_actor_animal_bear_timeline
Chunk Name: aid_animevents_pinata_actor_animal_batpest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_badger_timeline
Chunk Name: aid_animevents_pinata_actor_animal_brownbutterfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_snailpest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_mandrillnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_molepest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_zebranew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_waterer_timeline
Chunk Name: aid_animevents_pinata_actor_animal_squirrelnew_timeline
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk1
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk2
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk3
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk4
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_talk5
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_leaveduetohits
Chunk Name: aid_animevents_pinata_actor_animal_firesalamander_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_openin
Chunk Name: aid_animevents_pinata_actor_animal_dragonfly_timeline
Chunk Name: aid_animevents_pinata_actor_animal_raccoonnew_timeline
Chunk Name: aid_model_pinata_avatar_paving_slab_default2
Chunk Name: aid_texture_common_effect_circlefade
Chunk Name: aid_misc_pinata_speechphrase_builder_watered1
Chunk Name: aid_misc_pinata_speechphrase_builder_watered2
Chunk Name: aid_misc_pinata_speechphrase_builder_watered3
Chunk Name: aid_animevents_pinata_actor_animal_crocodilepest_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bluebottle_timeline
Chunk Name: aid_animevents_pinata_actor_animal_lion_timeline
Chunk Name: aid_animevents_pinata_actor_animal_moth_timeline
Chunk Name: aid_animevents_pinata_actor_animal_mole_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_default
Chunk Name: aid_animevents_pinata_actor_animal_crowpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_orangebutterflynew_timeline
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_watered1
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_watered2
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_watered3
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_enoughmoneyfortrader
Chunk Name: aid_animevents_pinata_actor_animal_newt_timeline
Chunk Name: aid_animevents_pinata_actor_helper_professor_timeline
Chunk Name: aid_animevents_pinata_actor_animal_greenbutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_dedosnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_wormnew_timeline
Chunk Name: aid_marker_pinata_game_competitionrace
Chunk Name: aid_animevents_pinata_actor_animal_beavernew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_seedos_timeline
Chunk Name: aid_animevents_pinata_actor_animal_sparrownew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_spider_timeline
Chunk Name: aid_animevents_pinata_actor_animal_snail_timeline
Chunk Name: aid_misc_pinata_speechphrase_builder_hit1
Chunk Name: aid_misc_pinata_speechphrase_builder_hit2
Chunk Name: aid_misc_pinata_speechphrase_builder_hit3
Chunk Name: aid_pip_pinata_confirmation_player_restartgame
Chunk Name: aid_expression_pinata_bodyparams_shopkeeper_default
Chunk Name: aid_animevents_pinata_actor_animal_mandrillpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_doctor_timeline
Chunk Name: aid_animevents_pinata_actor_animal_bluebutterflynew_timeline
Chunk Name: aid_entrypoint_pinata_actor_animal_61
Chunk Name: aid_entrypoint_pinata_actor_animal_62
Chunk Name: aid_entrypoint_pinata_actor_animal_86
Chunk Name: aid_entrypoint_pinata_actor_animal_87
Chunk Name: aid_entrypoint_pinata_actor_animal_76
Chunk Name: aid_misc_pinata_speechphrase_tinker_hit1
Chunk Name: aid_misc_pinata_speechphrase_tinker_hit2
Chunk Name: aid_misc_pinata_speechphrase_tinker_hit3
Chunk Name: aid_animevents_pinata_actor_animal_wolfpestnew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_builder_timeline
Chunk Name: aid_animevents_pinata_actor_animal_monkey_timeline
Chunk Name: aid_animevents_pinata_actor_animal_poisonfrog_timeline
Chunk Name: aid_animevents_pinata_actor_animal_hydra_timeline
Chunk Name: aid_misc_pinata_speechphrase_beggartrader_firstspeech
Chunk Name: aid_misc_pinata_speechphrase_tinker_watered1
Chunk Name: aid_misc_pinata_speechphrase_tinker_watered2
Chunk Name: aid_misc_pinata_speechphrase_tinker_watered3
Chunk Name: aid_animevents_pinata_actor_animal_unicornnew_timeline
Chunk Name: aid_expression_pinata_database_surprised
Chunk Name: aid_objparams_pinata_actorstate_animal_explode
Chunk Name: aid_animevents_pinata_actor_helper_harvesternew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_crocodile_timeline
Chunk Name: aid_animevents_pinata_actor_animal_rabbitnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_parrotnew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_sheep_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_windspinner
Chunk Name: aid_animevents_pinata_actor_animal_buzzardnew_timeline
Chunk Name: aid_anim_pinata_avatar_home_helperdedos_closein
Chunk Name: aid_animevents_pinata_actor_animal_ponynew_timeline
Chunk Name: aid_animevents_pinata_actor_helper_groundskeeper_timeline
Chunk Name: aid_animevents_pinata_actor_animal_grasssnake_timeline
Chunk Name: aid_objparams_pinata_scenecontrol_competitionrace
Chunk Name: aid_animevents_pinata_actor_animal_elephant_timeline
Chunk Name: aid_animevents_pinata_actor_helper_trader_timeline
Chunk Name: aid_model_pinata_avatar_flowerhead_bulrush_default
Chunk Name: aid_animevents_pinata_actor_animal_hippo_timeline
Chunk Name: aid_animevents_pinata_actor_animal_purplebutterflynew_timeline
Chunk Name: aid_animevents_pinata_actor_animal_deer_timeline
Chunk Name: aid_texture_common_effect_electricspark
Chunk Name: aid_animevents_pinata_actor_animal_swan_timeline
Chunk Name: aid_animevents_pinata_actor_animal_whitebutterflynew_timeline
